material name     |     G vrh     |     K vrh     |     Vicker's Hardness
Co1Se5.5Tm3    33.422202795768705GPa   80.71986154747505GPa   2.5532147160101353GPa
Cr1Se5.5Lu3    39.82325598865458GPa   88.67062027264117GPa   3.7665565505476755GPa
F1.33333333Ge1Np1.33333333    30.205583914412724GPa   65.38163941531995GPa   2.949764842045237GPa
F1.33333333Ge1Pa1.33333333    33.57636299868027GPa   71.17087046885342GPa   3.486723543146228GPa
F1.33333333Ge1Pu1.33333333    28.875032819351567GPa   65.1757132533067GPa   2.5178079703759053GPa
F1.33333333Ge1U1.33333333    36.01795794116833GPa   73.84667639571894GPa   4.027061858869671GPa
F1.33333333Se1.33333333Os1    44.725212531133735GPa   101.37344444864448GPa   4.092807330285998GPa
F1.33333333Se1.33333333Tc1    44.65104500756882GPa   82.41020268264315GPa   6.011285567907661GPa
F1.33333333Sn1Np1.33333333    25.086982697385878GPa   61.403376051260565GPa   1.6225014742314068GPa
F1.33333333Sn1Pa1.33333333    34.09347563010722GPa   68.13546117461327GPa   4.011669603108631GPa
F1.33333333Sn1Pb1.33333333    30.02532769337568GPa   53.992489129434524GPa   4.365309283386199GPa
F1.33333333Sn1Pu1.33333333    24.21595195747242GPa   61.360562558012816GPa   1.3480816450739779GPa
F1.33333333Sn1U1.33333333    31.178900061047983GPa   62.22161101920419GPa   3.665679342288172GPa
F1.33333333Te1.33333333Os1    43.24166895008195GPa   89.63084949704584GPa   4.720821312927203GPa
F1.5As1Tl1.5    28.60820585302237GPa   55.801533168371286GPa   3.510210986404716GPa
F1.5Fe1.75Se1    38.653676294297526GPa   94.49675034499097GPa   2.960903850224282GPa
F1.5P1Pm1.5    45.89145369699123GPa   73.56813315136391GPa   7.79797556361922GPa
F1.5P1Se1.75    63.31462455769959GPa   79.49236415434147GPa   14.349575177266964GPa
F1.5P1Tl1.5    27.042477379607345GPa   58.85389970324725GPa   2.5415916857679637GPa
F1.5Ru1I2.5    31.898048032860938GPa   54.61039812024086GPa   5.082093190413124GPa
F1.5S1Se1.75    62.71467498515682GPa   84.19212162894212GPa   12.95310774697363GPa
F1.5Sb1Tl1.5    21.502369854758996GPa   54.710692522010575GPa   1.0364447536676442GPa
F1.5Te1.75Pa1    30.13829486275901GPa   63.84098571713148GPa   3.0942008232894844GPa
F1As3Mo2.5    92.6549322255346GPa   138.70870175513065GPa   14.645052342039815GPa
F1As3W2.5    121.68193124668115GPa   175.04366605586853GPa   18.6830565229401GPa
F1Cr1.5Te4    30.284843704075016GPa   52.3903307566639GPa   4.7456278595944905GPa
F1Cr2.5As3    49.303842951845446GPa   113.09112356007185GPa   4.4049883977806665GPa
F1Fe3Te2.5    30.757664269273GPa   79.00300184271295GPa   1.9220398385188533GPa
F1Mg4.5Si2    54.63709656527038GPa   73.05735983671161GPa   11.785428211659964GPa
F1Mn1.33333333Sb1    41.89629701895114GPa   84.25098043575217GPa   4.8528180724891GPa
F1Mo1.5Te4    27.15031444923729GPa   71.3935510262271GPa   1.451679306396704GPa
F1Nb3Te5.5    37.97271571619357GPa   101.50280284680697GPa   2.31402330396691GPa
F1P1Bi1.33333333    28.803448454134465GPa   60.40589490459953GPa   3.0047130907768986GPa
F1P2Cd3.5    37.35377967667912GPa   69.16445570593605GPa   5.08749580763814GPa
F1P2Te3.5    28.921856110891337GPa   63.82052152628121GPa   2.6712435757869057GPa
F1Sb3W2.5    80.76027251744134GPa   170.84174449784715GPa   7.864934565561692GPa
F1Si2Pb4.5    28.675768625891546GPa   49.258269532307594GPa   4.564292827445984GPa
F1Si2Sn4.5    34.65780389557868GPa   61.052428235336485GPa   5.205562901320713GPa
F1Sn3.5Ta3    66.69382864206533GPa   139.85331785835547GPa   6.814386676607214GPa
F1Te4W1.5    33.88939772879953GPa   119.26071154192597GPa   0.604044131567552GPa
F1V1Sb1.33333333    35.67081279728499GPa   74.68123816554356GPa   3.81839023868835GPa
F1V2.5Te2    38.2418823775992GPa   109.75894565482791GPa   1.9098891285814394GPa
F2.5Br1.5Cs1    33.37077145967707GPa   59.0503210151279GPa   4.983764373481044GPa
F2.5I1.5Cs1    27.908548027873557GPa   51.96216317933086GPa   3.7755539226722084GPa
F2.5I1.5Ir1    43.9049412117129GPa   83.54143710368064GPa   5.610249587720579GPa
F2.5I1.5Os1    46.28081066151868GPa   109.60130581980957GPa   3.8742334027898755GPa
F2.5P1.5Mn1    68.4048927782429GPa   83.49576387064172GPa   15.761198368553021GPa
F2.5S1.25I1    76.01905414999564GPa   86.47870065340413GPa   18.670313976313782GPa
F2.66666667Si1V1.33333333    75.34707593620479GPa   110.30227189536967GPa   13.049359945828886GPa
F2Fe2.5Sb1    33.35452690488649GPa   92.69403851361363GPa   1.706694744340938GPa
F2P1.33333333U1    59.35172675234873GPa   80.32020603635969GPa   12.30243374741232GPa
F2Si1Np1.5    52.96233517499634GPa   76.86937581725574GPa   10.190488387931918GPa
F2Si1Pa1.5    59.38386090582756GPa   95.61149116225714GPa   9.491692465979105GPa
F2Si1Pu1.5    56.850760416377035GPa   79.84954232294471GPa   11.28674914143898GPa
F2Si1U1.5    58.777234254351306GPa   90.12410053524277GPa   10.14704484235454GPa
F2Te1Tl1.33333333    28.037969822057377GPa   57.28400686775465GPa   3.0943325863063933GPa
F3.33333333Cl1.33333333Eu1    79.72881496290861GPa   95.3792536749293GPa   18.00892239731882GPa
F3.33333333S1.33333333U1    79.36316259651655GPa   89.20050582834934GPa   19.53883789034211GPa
F3.33333333S1Os1.33333333    82.68866179352824GPa   127.7719232022566GPa   12.908096120858456GPa
F3.5Ag1.5Pt1    59.648857588788516GPa   93.81537060550653GPa   9.872151902273446GPa
F3.5Pd1Ag1.5    55.25125778478617GPa   88.18717252959544GPa   9.098071946466007GPa
F3.66666667P1Pa1.33333333    80.08033525571021GPa   89.29884946382246GPa   19.86800399946986GPa
F3.66666667P1Ta1.33333333    87.44712166440108GPa   122.02521773843117GPa   15.520271971401161GPa
F3.66666667Te1.33333333Cs1    29.522748080733052GPa   52.950279193540965GPa   4.315251942715395GPa
F4.33333333Br1.33333333Tl1    71.56260447844942GPa   88.79948744189409GPa   15.89574114894888GPa
F4.33333333Cl1.33333333Dy1    82.28938594670515GPa   101.30956721770968GPa   17.69413911186413GPa
F4.33333333Cl1.33333333Ho1    82.52536694321617GPa   101.30956721770968GPa   17.79840145429799GPa
F4.33333333Cl1.33333333Tb1    82.67953872539856GPa   101.61845539997313GPa   17.792448530495943GPa
F4.33333333Cl1.33333333Tl1    71.34722326754277GPa   95.16931766390516GPa   14.332664291097252GPa
F4.33333333I1.33333333Tl1    72.27953801425878GPa   94.0536715630189GPa   14.978453647468594GPa
F4.33333333I1Re1.33333333    72.99875990440731GPa   115.21606924648688GPa   11.427078453259346GPa
F4.33333333Ni1Tl1.33333333    51.85737815371501GPa   88.8325879973972GPa   7.732302679303292GPa
F4.5Br1Ag1.5    69.04391360414533GPa   85.3776022491296GPa   15.579013376038453GPa
F4.5P1Yb2.5    54.99848425526686GPa   67.13310523003184GPa   13.513134922659614GPa
F4.66666667Ag1.66666667I1    63.81740674518656GPa   88.3994222491296GPa   12.53647101085559GPa
F4.66666667Cl1.66666667Ni1    75.08453769345817GPa   92.19522649957284GPa   16.67488818930279GPa
F4Cl1Cu1.5    71.5532386368565GPa   84.94245994729934GPa   16.898867191593578GPa
F4K1Te1.5    52.07973668691505GPa   70.7970959689761GPa   11.101510498446741GPa
