material name     |     G vrh     |     K vrh     |     Vicker's Hardness
Cl3Ge1.5Lu1    52.14236622225654GPa   90.9358500517472GPa   7.543374514363945GPa
Cl3Ge4.5Sm1    46.972075973460626GPa   105.52943709238878GPa   4.374993261514359GPa
Cl3Nb1Sn3.5    37.862705340409086GPa   69.64860347062859GPa   5.214552391039785GPa
Cl3Sn1.5Lu1    42.676429447708166GPa   78.43063927802886GPa   5.819860925600739GPa
Cl4.5K1.5I1    40.363095627303984GPa   62.320244149620486GPa   7.466865272432575GPa
Cl4.5Sb1Pa1.5    47.090045666497055GPa   88.14197808002044GPa   6.144431669747664GPa
Cl4.66666667Br1Tl1.66666667    38.64848009855761GPa   75.87814564730776GPa   4.703903646674044GPa
Cl6Se1.5Yb1    45.9534501470043GPa   78.98741473338129GPa   6.959913341982324GPa
Cl6Ti1.5Lu1    65.70311097225037GPa   105.43841000070896GPa   10.304074140784957GPa
Cl7Fe1.5U1    61.32453025375689GPa   93.64073307097814GPa   10.54298033593689GPa
Cl7Sr1.5Pt1    42.31046872141124GPa   77.27901386036667GPa   5.839219326156064GPa
Cl8.5Er1.5Pt1    52.6733691932889GPa   86.27498285215856GPa   8.413978807329578GPa
Cl8.5Pm1.5Ir1    65.69272048043301GPa   93.59142476626833GPa   12.290672129808407GPa
Cl8.5Se1Er1.5    45.376024319458665GPa   88.11753676911547GPa   5.571117594579746GPa
Cl8.5Tb1.5Ir1    66.26110341043758GPa   97.64332180903914GPa   11.77260794311672GPa
Co1Se5.5Er3    44.820966624930804GPa   131.7478397265858GPa   2.2393768368901847GPa
Co1Se5.5Ho3    43.50863011539858GPa   128.69216064354953GPa   2.1115650424524954GPa
Co1Se5.5Tm3    43.18468639090546GPa   126.60850234278449GPa   2.1422381075930517GPa
Cr1Se5.5Lu3    46.320197316962805GPa   133.56387889611784GPa   2.4626187608072456GPa
F1.33333333Ge1Np1.33333333    47.57281130003966GPa   81.60922963507848GPa   7.187315662409443GPa
F1.33333333Ge1Pa1.33333333    53.63267456071114GPa   118.2059629161796GPa   5.150619299076759GPa
F1.33333333Ge1Pu1.33333333    45.607598724210845GPa   77.63724062360261GPa   7.029015139532733GPa
F1.33333333Ge1U1.33333333    54.99544114666442GPa   122.84957170622802GPa   5.142095089925073GPa
F1.33333333Se1.33333333Os1    60.361782911394904GPa   144.22111218995397GPa   4.947008291016094GPa
F1.33333333Se1.33333333Tc1    63.311517072303275GPa   160.58416077487323GPa   4.6200882873941715GPa
F1.33333333Sn1Np1.33333333    38.81767007427093GPa   72.40189718552865GPa   5.201046390289822GPa
F1.33333333Sn1Pa1.33333333    49.04892901946776GPa   118.00845146166562GPa   3.9814636103481993GPa
F1.33333333Sn1Pb1.33333333    38.98554819269837GPa   60.22557436537026GPa   7.249960251679369GPa
F1.33333333Sn1Pu1.33333333    40.48210331580547GPa   68.99142429264452GPa   6.3408500845212GPa
F1.33333333Sn1U1.33333333    47.37122623780471GPa   79.48433124402976GPa   7.4286665674858785GPa
F1.33333333Te1.33333333Os1    52.46318289898749GPa   145.76218281847272GPa   3.1363537872332072GPa
F1.5As1Tl1.5    36.45151064846973GPa   66.90823913487817GPa   5.054333732213179GPa
F1.5Fe1.75Se1    54.988601080686905GPa   142.64174758863422GPa   3.835022556264266GPa
F1.5P1Pm1.5    59.8648110670619GPa   82.42005196223201GPa   12.073277959293959GPa
F1.5P1Se1.75    76.51892360592679GPa   93.89605053378189GPa   16.908886036952637GPa
F1.5P1Tl1.5    34.589386833048486GPa   68.40520019740211GPa   4.158474008848018GPa
F1.5Ru1I2.5    44.53484568911253GPa   122.017101784235GPa   2.6674302786266617GPa
F1.5S1Se1.75    74.99941470679467GPa   94.38957053378188GPa   16.102731570074436GPa
F1.5Sb1Tl1.5    33.05916343904863GPa   65.32056286373266GPa   3.9787687021479403GPa
F1.5Te1.75Pa1    55.32445036669785GPa   95.93451309983733GPa   7.988512730844773GPa
F1As3Mo2.5    61.41442742728281GPa   162.3329882139042GPa   4.132940872751285GPa
F1As3W2.5    95.75708800691709GPa   215.88162499592192GPa   8.141730133554342GPa
F1Cr1.5Te4    45.12724918310517GPa   105.85261532018266GPa   3.8496650264283128GPa
F1Cr2.5As3    57.780982077839006GPa   134.12359166164765GPa   5.012747810394403GPa
F1Fe3Te2.5    50.043013028698255GPa   113.41699648990654GPa   4.575378279906783GPa
F1Mg4.5Si2    49.43451094914791GPa   79.37821233296539GPa   8.256478162231504GPa
F1Mn1.33333333Sb1    58.789625751151355GPa   148.14402699805885GPa   4.352791746547028GPa
F1Mo1.5Te4    44.909332072545936GPa   115.06954891979404GPa   3.159664260428679GPa
F1Nb3Te5.5    51.35171673628819GPa   115.94187950562431GPa   4.724898278197362GPa
F1P1Bi1.33333333    35.893563457356976GPa   58.317809948559386GPa   6.2065449145000695GPa
F1P2Cd3.5    40.558089045420736GPa   69.25543287601383GPa   6.329856809145683GPa
F1P2Te3.5    44.67820512105091GPa   84.54056627170444GPa   5.755516115839596GPa
F1Sb3W2.5    77.13188278296313GPa   198.67244530047458GPa   5.400487923789683GPa
F1Si2Pb4.5    43.208005240599704GPa   70.76034123066572GPa   7.166957115433137GPa
F1Si2Sn4.5    43.017721022683034GPa   63.12419525685735GPa   8.530603294973723GPa
F1Sn3.5Ta3    54.082992155180456GPa   133.14609909955334GPa   4.195935476353024GPa
F1Te4W1.5    49.706523680784265GPa   130.11959210206066GPa   3.374623594088747GPa
